rider_id,rider_name,gender,age,vehicle_type,assigned_store_id,rating,total_deliveries_lifetime,joining_date,rider_tenure_days
RD0001,Chakradev Kari,Male,23,Bike,ST015,4.3,1056,2025-10-13,169
RD0002,Fariq Kaul,Male,36,E-Bike,ST009,4.2,3857,2025-02-18,406
RD0003,Lajita Mall,Male,31,E-Bike,ST009,4.6,4146,2024-10-02,545
RD0004,Janya Gaba,Male,22,Bike,ST003,4.2,4265,2025-03-17,379
RD0005,Isha Kadakia,Male,28,Bike,ST012,4.7,3421,2026-01-20,70
RD0006,Ekbal Garg,Male,44,Bike,ST006,4.5,4230,2025-11-10,141
RD0007,Nihal Shere,Male,25,Scooter,ST002,4.2,3339,2025-11-06,145
RD0008,Anamika Kanda,Male,23,Bike,ST015,4.1,4922,2025-12-26,95
RD0009,Daksh Karnik,Male,36,E-Bike,ST003,3.8,1093,2025-03-31,365
RD0010,Diya Rattan,Male,24,Scooter,ST001,4.5,2911,2025-03-04,392
RD0011,Dominic Kakar,Male,42,Scooter,ST002,4.3,2510,2026-01-20,70
RD0012,Simon Tata,Male,41,Bike,ST007,3.6,3209,2025-07-15,259
RD0013,Tara Dhar,Male,44,Bicycle,ST002,4.2,869,2025-02-19,405
RD0014,Liam Koshy,Male,42,Bike,ST013,4.1,1956,2025-02-08,416
RD0015,Priya Rastogi,Male,25,Bike,ST008,5.0,5725,2025-12-26,95
RD0016,Theodore Devi,Male,24,Bike,ST005,3.8,649,2024-10-11,536
RD0017,Gavin Batta,Male,27,E-Bike,ST001,3.9,3819,2024-10-16,531
RD0018,Michael Dutta,Male,31,Scooter,ST008,4.8,3994,2025-10-12,170
RD0019,Devansh Rajan,Male,41,Scooter,ST003,4.9,2857,2024-09-13,564
RD0020,Upadhriti Wadhwa,Male,38,Bike,ST015,4.1,220,2024-12-13,473
RD0021,Advay Contractor,Male,35,Bicycle,ST005,4.2,225,2026-02-24,35
RD0022,Harini Choudhury,Male,41,Bike,ST008,4.6,1668,2025-04-28,337
RD0023,Radhika Dugar,Male,35,Bike,ST001,3.6,633,2025-10-07,175
RD0024,Aarush Lall,Male,28,Bicycle,ST002,3.7,583,2025-05-31,304
RD0025,Yashica Cherian,Male,29,Bike,ST004,4.3,977,2024-10-31,516
RD0026,Yashica Issac,Male,32,Bike,ST001,4.9,1160,2024-12-20,466
RD0027,Kashvi Edwin,Male,21,Scooter,ST011,4.2,5034,2025-10-25,157
RD0028,Ekiya Suresh,Male,38,Bike,ST015,4.4,3839,2024-11-02,514
RD0029,Isaac Patil,Male,35,Bike,ST015,4.8,201,2025-07-28,246
RD0030,Wriddhish Bhardwaj,Male,38,Bike,ST004,5.0,3778,2025-03-18,378
RD0031,Farhan Chada,Male,32,Bike,ST012,4.2,837,2025-03-30,366
RD0032,Ekapad Walia,Male,39,E-Bike,ST008,4.4,2537,2026-02-04,55
RD0033,Kabir Soman,Male,43,Scooter,ST001,5.0,247,2025-08-03,240
RD0034,Alka Wable,Male,33,Bike,ST002,3.9,559,2025-08-08,235
RD0035,Siddharth Zacharia,Male,30,Bike,ST009,4.8,812,2025-03-19,377
RD0036,Devika Rastogi,Male,21,Bike,ST007,4.0,2611,2025-04-05,360
RD0037,Raksha Varughese,Male,39,Scooter,ST001,4.4,2789,2025-09-14,198
RD0038,Jai Kota,Male,42,E-Bike,ST014,4.3,2129,2024-10-03,544
RD0039,Devansh Nigam,Male,37,E-Bike,ST011,4.1,3728,2025-01-17,438
RD0040,Victor Kannan,Male,41,Bike,ST008,4.1,4328,2025-07-31,243
RD0041,Ekavir Bhargava,Male,41,Bike,ST015,4.5,4377,2025-08-12,231
RD0042,Ekansh Balay,Male,39,Bike,ST015,4.7,3482,2024-11-01,515
RD0043,Ekavir Varkey,Male,32,Scooter,ST015,4.4,3282,2025-11-08,143
RD0044,Arya Sunder,Male,21,Bike,ST004,4.4,2959,2025-06-30,274
RD0045,Kevin Solanki,Male,19,Scooter,ST014,4.6,1442,2025-01-18,437
RD0046,Urvashi Ray,Male,24,Scooter,ST008,4.1,2932,2025-10-20,162
RD0047,Girindra Chatterjee,Male,30,Bike,ST011,4.7,80,2026-02-25,34
RD0048,Irya Sampath,Male,38,Bike,ST013,4.7,5798,2025-04-27,338
RD0049,Unni Bhagat,Male,30,Bike,ST003,5.0,2233,2025-02-11,413
RD0050,Darsh Rau,Male,19,Bike,ST007,4.3,4542,2025-02-20,404
RD0051,Ikbal Kothari,Male,24,Bike,ST002,4.2,5741,2025-07-27,247
RD0052,Ranveer Yadav,Male,44,Scooter,ST005,4.7,2991,2024-10-08,539
RD0053,Logan Sami,Female,44,Bike,ST007,4.7,5173,2025-05-29,306
RD0054,Arya Shere,Female,28,Bike,ST013,4.2,2885,2024-09-26,551
RD0055,Faqid Savant,Male,39,Scooter,ST013,4.3,811,2024-10-03,544
RD0056,Chandresh Zachariah,Male,37,Scooter,ST006,4.6,178,2025-05-01,334
RD0057,Girik Khalsa,Female,43,Bike,ST005,4.1,831,2025-10-16,166
RD0058,Niharika Sunder,Male,42,Scooter,ST008,4.3,5656,2025-12-29,92
RD0059,Tanay Rattan,Male,35,E-Bike,ST014,4.4,2861,2024-10-29,518
RD0060,Nitesh Raghavan,Male,29,Scooter,ST015,4.7,1928,2025-01-21,434
RD0061,Madhavi Lanka,Male,35,Scooter,ST004,4.2,2687,2025-04-26,339
RD0062,Bhavika Sampath,Male,27,Bike,ST003,3.8,1550,2025-07-17,257
