customer_id,customer_name,gender,age,city,area,registered_date,customer_segment,preferred_payment_mode
CU000001,Quincy Sankaran,Female,33.0,Bhilai,Supela,2024-06-04,Returning,UPI
CU000002,Ayush Hora,Male,49.0,Raipur,Devendra Nagar,2024-08-29,New,UPI
CU000003,Pushti Ramachandran,Male,23.0,Raipur,VIP Road,2024-09-08,Returning,UPI
CU000004,Tanish Jha,Female,25.0,Bhilai,Sector 9,2024-08-30,Returning,UPI
CU000005,Dev Chaudry,Male,54.0,Bilaspur,Sarkanda,2025-08-16,Returning,UPI
CU000006,Jasmit Nanda,Male,51.0,Bilaspur,Link Road,2025-12-05,Premium,Wallet
CU000007,Tanvi Comar,Male,61.0,Raipur,Avanti Vihar,2024-06-05,Returning,UPI
CU000008,Vrishti Wable,Female,34.0,Bhilai,Vaishali Nagar,2024-06-30,New,Card
CU000009,Lipika Ramanathan,Female,27.0,Bhilai,Sector 9,2025-01-15,New,Card
CU000010,Ijaya Pandey,Female,43.0,Raipur,Avanti Vihar,2024-05-22,Returning,Card
CU000011,Orinder Mishra,Male,36.0,Bilaspur,Tarbahar,2026-02-14,Returning,UPI
CU000012,Krish Munshi,Male,29.0,raipur,Devendra Nagar,2024-10-19,Returning,Cash on Delivery
CU000013,William Mody,Male,55.0,Bilaspur,Sarkanda,2025-10-02,New,Cash on Delivery
CU000014,Qadim Prakash,Male,18.0,Korba,TP Nagar,2025-03-23,Returning,Card
CU000015,Yasti Rama,Male,53.0,Bilaspur,Vyapar Vihar,2025-01-08,Premium,UPI
CU000016,Lakshit Rajagopal,Male,27.0,Bilaspur,Tarbahar,2024-05-05,Returning,UPI
CU000017,Quincy Sur,Male,25.0,Raipur,Devendra Nagar,2025-03-01,Returning,Cash on Delivery
CU000018,Ojas Suri,Male,35.0,Raipur,Shankar Nagar,2024-12-05,Returning,UPI
CU000019,Logan Grover,Female,36.0,Raipur,Civil Lines,2024-09-03,New,UPI
CU000020,Shravya Bera,Female,25.0,Durg,Borsi,2025-11-26,Returning,Card
CU000021,Aditya Sundaram,Male,32.0,Durg,Malviya Nagar,2024-04-19,Returning,Wallet
CU000022,Robert Rajagopalan,Female,51.0,Raipur,Devendra Nagar,2024-12-26,Returning,UPI
CU000023,Nilima Swamy,Female,63.0,Raipur,VIP Road,2024-04-24,New,UPI
CU000024,Sachi Suresh,Female,61.0,Raipur,VIP Road,2025-06-08,Returning,Wallet
CU000025,Fitan Balasubramanian,Female,32.0,Bilaspur,Tarbahar,2025-05-24,New,Wallet
CU000026,Brinda Bali,Male,36.0,BILASPUR,Vyapar Vihar,2026-03-03,Returning,Card
CU000027,Umang Yogi,Male,57.0,Bilaspur,Tarbahar,2024-06-12,New,Card
CU000028,Om Shankar,Female,42.0,Korba,TP Nagar,2025-08-26,New,Card
CU000029,Yasti Chowdhury,Male,64.0,Raipur,Shankar Nagar,2025-11-16,New,Card
CU000030,Amrita Peri,Female,49.0,Bilaspur,Vyapar Vihar,2025-08-10,Returning,UPI
CU000031,Ridhi Kamdar,Female,54.0,Bilaspur,Tarbahar,2026-02-22,Returning,Card
CU000032,Harsh Kota,Male,54.0,Raipur,VIP Road,2026-03-10,Returning,Card
CU000033,Bachittar Sengupta,Male,52.0,Korba,TP Nagar,2024-05-25,New,Card
CU000034,Ijaya Chahal,Male,38.0,Raipur,VIP Road,2024-06-08,Returning,UPI
CU000035,Jacob Khalsa,Female,31.0,Bilaspur,Vyapar Vihar,2024-08-18,Returning,Card
CU000036,Indali Sangha,Male,23.0,Bilaspur,Tarbahar,2026-02-12,New,UPI
CU000037,Liam Jhaveri,Male,45.0,Korba,TP Nagar,2024-08-23,Returning,Card
CU000038,Daniel Panchal,Male,64.0,Bhilai,Sector 10,2024-07-21,Returning,Card
CU000039,Om Naik,Female,24.0,Raipur,Devendra Nagar,2025-04-14,Returning,UPI
CU000040,Bimala Loke,Male,22.0,Durg,Borsi,2024-04-26,New,Wallet
CU000041,Krishna Sabharwal,Male,36.0,Durg,Borsi,2025-09-16,Returning,Card
CU000042,Aradhana Date,Male,37.0,Bhilai,Sector 9,2025-03-06,Returning,Card
CU000043,Zaid Dhingra,Male,49.0,Durg,Malviya Nagar,2026-03-28,Returning,Card
CU000044,Yug Ramaswamy,Female,22.0,Raipur,Civil Lines,2026-01-05,Returning,UPI
CU000045,Lucky Luthra,Male,57.0,Bilaspur,Tarbahar,2025-04-06,Returning,Card
CU000046,Keya Seth,Male,53.0,Durg,Ashish Nagar,2024-11-15,New,Cash on Delivery
CU000047,Girik Rau,Female,53.0,Raipur,VIP Road,2024-04-26,Returning,Cash on Delivery
CU000048,Jyoti Sha,Male,47.0,Bhilai,Sector 9,2024-06-06,New,Card
CU000049,Falak Agate,Male,55.0,Rajnandgaon,Station Para,2024-05-27,Premium,UPI
CU000050,Tara Parmar,Male,48.0,Durg,Ashish Nagar,2024-04-14,Premium,UPI
CU000051,Mitali Kamdar,Female,28.0,Korba,Transport Nagar,2025-03-22,Returning,Cash on Delivery
CU000052,Siddharth Talwar,Male,58.0,Bhilai,Vaishali Nagar,2025-01-11,Returning,Wallet
CU000053,Ekantika Mander,Male,29.0,Rajnandgaon,Station Para,2024-06-21,Returning,Cash on Delivery
CU000054,Kalpit Sundaram,Female,27.0,Raipur,Telibandha,2026-03-19,Returning,UPI
CU000055,Chanakya Batra,Female,27.0,Bhilai,Vaishali Nagar,2026-01-29,New,Card
CU000056,Tripti Babu,Female,33.0,Bhilai,Sector 9,2025-08-08,New,UPI
CU000057,Nakul Sastry,Male,21.0,Durg,Malviya Nagar,2026-01-14,New,Card
CU000058,Aadi Sangha,Male,41.0,Korba,Transport Nagar,2025-04-06,New,UPI
